method_id,trajectory_id,checkpoint,value_accuracy,status_accuracy,evidence_hit_rate,evidence_citation_precision,exact_state_match
fc_openrouter_gpt_oss_120b,traj_007,225,0.7352941176470589,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,240,0.7941176470588235,0.9117647058823529,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,255,0.7941176470588235,0.9117647058823529,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,270,0.8235294117647058,0.9117647058823529,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,285,0.7647058823529411,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,300,0.7647058823529411,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_008,15,0.9705882352941176,1.0,0.0,,False
fc_openrouter_gpt_oss_120b,traj_008,30,0.9411764705882353,1.0,0.0,,False
fc_openrouter_gpt_oss_120b,traj_008,45,0.9117647058823529,1.0,0.25,1.0,False
fc_openrouter_gpt_oss_120b,traj_008,60,0.8235294117647058,0.9705882352941176,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_008,75,0.8235294117647058,0.9117647058823529,0.1,0.3333333333333333,False
fc_openrouter_gpt_oss_120b,traj_008,90,0.7352941176470589,0.9117647058823529,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_008,105,0.7941176470588235,0.9705882352941176,0.0,,False
fc_openrouter_gpt_oss_120b,traj_008,120,0.8235294117647058,0.9705882352941176,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_008,135,0.7941176470588235,0.9705882352941176,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_008,150,0.7352941176470589,0.9411764705882353,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_008,165,0.7058823529411765,0.9117647058823529,0.0,,False
fc_openrouter_gpt_oss_120b,traj_008,180,0.6176470588235294,0.8235294117647058,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_008,195,0.6764705882352942,0.9117647058823529,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_008,210,0.7058823529411765,0.9117647058823529,0.09090909090909091,0.3333333333333333,False
fc_openrouter_gpt_oss_120b,traj_008,225,0.6176470588235294,0.8235294117647058,0.07142857142857142,0.3333333333333333,False
fc_openrouter_gpt_oss_120b,traj_008,240,0.5,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_008,255,0.5,0.7941176470588235,0.0,0.0,False
