method_id,trajectory_id,checkpoint,visible_prefix_size,retrieved_evidence_count,visible_prefix_recall,visible_prefix_complete
fc_openrouter_gpt_oss_120b,traj_012,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,240,240,240,1.0,True
